customer_id,customer_name,gender,age,city,signup_date
C0001,Meena,Male,25,Chennai,2024-04-27
C0002,Kavya,Male,19,Pune,2024-06-21
C0003,Meena,Female,19,Kolkata,2024-11-27
C0004,Suresh,Female,54,Bangalore,2025-08-15
C0005,Nisha,Male,30,Hyderabad,2025-02-17
C0006,Manoj,Female,31,Bangalore,2026-06-19
C0007,Vijay,Female,60,Bangalore,2025-08-14
C0008,Lakshmi,Female,44,Bangalore,2026-01-18
C0009,Keerthana,Female,49,Ahmedabad,2026-07-25
C0010,Suresh,Male,59,Chennai,2024-12-03
C0011,Ramesh,Male,31,Bangalore,2024-02-19
C0012,Arun,Male,42,Bangalore,2026-01-29
C0013,Arvind,Female,55,Delhi,2025-12-15
C0014,Kavya,Male,36,Bangalore,2025-03-13
C0015,Pooja,Female,37,Bangalore,2024-02-16
C0016,Meena,Female,54,Delhi,2026-04-03
C0017,Rahul,Male,18,Ahmedabad,2025-02-01
C0018,Ramesh,Female,51,Mumbai,2026-06-01
C0019,Manoj,Female,42,Mumbai,2026-06-19
C0020,Ramesh,Female,49,Delhi,2024-03-28
C0021,Divya,Female,40,Mumbai,2024-07-11
C0022,Lakshmi,Female,22,Ahmedabad,2025-08-09
C0023,Ramesh,Male,32,Ahmedabad,2025-10-19
C0024,Anjali,Female,30,Hyderabad,2025-12-06
C0025,Keerthana,Male,50,Hyderabad,2025-08-25
C0026,Arun,Male,35,Ahmedabad,2024-02-21
C0027,Harish,Male,50,Hyderabad,2024-03-11
C0028,Harish,Male,33,Pune,2023-12-03
C0029,Meena,Female,48,Mumbai,2025-01-24
C0030,Priya,Male,51,Delhi,2026-05-09
C0031,Pooja,Male,60,Chennai,2025-06-08
C0032,Divya,Male,52,Kolkata,2024-08-15
C0033,Pooja,Male,37,Pune,2024-06-26
C0034,Manoj,Female,52,Delhi,2024-02-09
C0035,Arvind,Female,19,Chennai,2025-07-10
C0036,Pooja,Male,58,Mumbai,2025-08-05
C0037,Anjali,Female,53,Bangalore,2025-01-01
C0038,Lakshmi,Female,23,Delhi,2024-07-31
C0039,Ajay,Female,29,Ahmedabad,2025-09-05
C0040,Manoj,Male,28,Delhi,2025-05-08
C0041,Keerthana,Female,51,Ahmedabad,2025-09-27
C0042,Suresh,Female,30,Hyderabad,2024-08-13
C0043,Nisha,Male,25,Ahmedabad,2025-09-08
C0044,Anjali,Female,24,Hyderabad,2026-01-03
C0045,Nisha,Female,29,Mumbai,2026-02-15
C0046,Anjali,Male,55,Bangalore,2024-05-21
C0047,Divya,Female,24,Bangalore,2026-01-29
C0048,Priya,Male,32,Chennai,2024-04-19
C0049,Nisha,Male,54,Kolkata,2024-07-23
C0050,Ajay,Male,22,Delhi,2025-12-15
C0051,Suresh,Male,20,Chennai,2025-04-23
C0052,Suresh,Female,39,Delhi,2026-03-22
C0053,Arun,Male,41,Ahmedabad,2026-03-19
C0054,Manoj,Male,38,Mumbai,2026-06-28
C0055,Pooja,Female,53,Bangalore,2025-06-16
