driver_id,driver_name,vehicle_type,city,experience_years,rating
D0001,Harish,Sedan,Hyderabad,1,3.8
D0002,Prakash,Bike,Kolkata,2,4.2
D0003,Harish,Bike,Ahmedabad,7,4.9
D0004,Harish,Auto,Hyderabad,2,4.4
D0005,Arun,SUV,Hyderabad,1,4.3
D0006,Murugan,Sedan,Pune,11,4.3
D0007,Rajesh,Auto,Hyderabad,13,5.0
D0008,Ramesh,SUV,Ahmedabad,8,4.5
D0009,Ganesh,Sedan,Hyderabad,15,3.9
D0010,Murugan,Auto,Pune,10,4.3
D0011,Vignesh,SUV,Kolkata,14,3.8
D0012,Ramesh,Mini,Ahmedabad,15,5.0
D0013,Saravanan,Mini,Ahmedabad,4,4.0
D0014,Kumar,Sedan,Pune,6,3.6
D0015,Prakash,Sedan,Chennai,2,3.7
D0016,Karthik,Bike,Mumbai,10,3.7
D0017,Lokesh,SUV,Delhi,2,3.9
D0018,Vignesh,Bike,Chennai,1,4.1
D0019,Murugan,Sedan,Bangalore,6,4.8
D0020,Ajith,Bike,Hyderabad,12,4.8
D0021,Sathish,Sedan,Delhi,6,4.6
D0022,Vijay,Mini,Delhi,9,3.7
D0023,Karthik,SUV,Kolkata,3,4.1
D0024,Vijay,Auto,Pune,8,4.1
D0025,Ajith,SUV,Delhi,12,3.8
D0026,Murugan,Mini,Chennai,2,3.7
D0027,Manikandan,Sedan,Mumbai,10,4.6
D0028,Ajith,Sedan,Ahmedabad,11,3.5
D0029,Ganesh,SUV,Chennai,5,4.4
D0030,Sathish,SUV,Hyderabad,11,4.5
D0031,Karthik,Sedan,Ahmedabad,11,3.8
D0032,Ramesh,Sedan,Delhi,10,3.8
D0033,Prakash,SUV,Delhi,6,4.0
D0034,Arun,Mini,Mumbai,8,4.1
D0035,Sathish,Sedan,Pune,9,4.7
D0036,Ravi,Mini,Pune,4,3.8
D0037,Sathish,SUV,Delhi,11,4.8
D0038,Karthik,Sedan,Pune,3,3.6
D0039,Murugan,Sedan,Kolkata,13,4.0
D0040,Manikandan,Auto,Pune,8,4.9
D0041,Manikandan,SUV,Delhi,2,4.3
D0042,Vignesh,Bike,Kolkata,15,5.0
D0043,Ramesh,Sedan,Kolkata,6,3.9
D0044,Arun,Bike,Hyderabad,4,4.5
D0045,Sathish,Bike,Chennai,3,4.4
D0046,Saravanan,Sedan,Ahmedabad,1,3.7
D0047,Suresh,Sedan,Delhi,4,4.4
D0048,Rajesh,Mini,Ahmedabad,1,3.7
D0049,Manikandan,Mini,Bangalore,11,4.1
D0050,Ganesh,SUV,Delhi,1,4.6
D0051,Vijay,Mini,Delhi,9,3.8
D0052,Suresh,Auto,Hyderabad,8,4.7
D0053,Ramesh,Sedan,Hyderabad,8,3.8
D0054,Murugan,Bike,Delhi,9,4.8
D0055,Sathish,Bike,Bangalore,1,4.6
D0056,Prakash,Mini,Kolkata,2,3.6
D0057,Suresh,Bike,Delhi,4,4.3
D0058,Ramesh,Sedan,Mumbai,4,4.5
D0059,Dinesh,Bike,Chennai,7,4.4
D0060,Ganesh,Sedan,Bangalore,10,3.9
D0061,Rajesh,Mini,Ahmedabad,15,4.0
D0062,Ajith,SUV,Mumbai,5,4.0
D0063,Ramesh,Bike,Hyderabad,5,4.7
D0064,Manikandan,Mini,Pune,6,4.6
D0065,Kumar,Bike,Hyderabad,15,4.8
D0066,Rajesh,Sedan,Ahmedabad,4,3.8
D0067,Arun,Sedan,Pune,10,3.8
D0068,Ganesh,SUV,Mumbai,9,4.8
D0069,Ganesh,Bike,Bangalore,14,4.4
D0070,Ravi,Bike,Ahmedabad,13,4.0
D0071,Vijay,Bike,Bangalore,7,4.6
D0072,Ganesh,SUV,Pune,15,4.8
D0073,Arun,Bike,Chennai,15,4.8
D0074,Arun,SUV,Mumbai,7,3.6
D0075,Ramesh,Bike,Pune,10,3.8
D0076,Harish,Bike,Hyderabad,2,4.9
D0077,Sathish,Mini,Pune,13,4.9
D0078,Ajith,SUV,Mumbai,5,4.6
D0079,Vijay,SUV,Pune,3,4.1
D0080,Harish,Bike,Hyderabad,15,4.7
D0081,Ajith,Bike,Bangalore,2,4.7
D0082,Manikandan,Auto,Delhi,14,4.6
D0083,Suresh,Sedan,Hyderabad,8,3.8
D0084,Karthik,Auto,Kolkata,4,4.5
D0085,Lokesh,Auto,Hyderabad,4,4.2
D0086,Harish,Auto,Hyderabad,9,4.3
D0087,Lokesh,Sedan,Kolkata,6,4.3
D0088,Lokesh,Sedan,Delhi,12,4.9
D0089,Ramesh,Bike,Kolkata,15,3.6
D0090,Suresh,Bike,Pune,11,4.2
D0091,Vijay,Mini,Mumbai,4,3.5
D0092,Kumar,Auto,Ahmedabad,10,4.8
D0093,Ramesh,Bike,Mumbai,12,3.8
D0094,Ramesh,Sedan,Ahmedabad,1,3.8
D0095,Prakash,Mini,Kolkata,4,3.7
D0096,Sathish,Bike,Ahmedabad,7,4.2
D0097,Murugan,Mini,Chennai,14,4.5
D0098,Vijay,Auto,Delhi,2,4.1
D0099,Kumar,Sedan,Mumbai,3,4.8
D0100,Harish,Auto,Delhi,14,4.4
D0101,Manikandan,Sedan,Chennai,8,4.5
D0102,Murugan,SUV,Kolkata,1,4.2
D0103,Rajesh,Auto,Bangalore,10,4.9
D0104,Karthik,Bike,Hyderabad,5,3.5
D0105,Rajesh,SUV,Bangalore,3,4.7
D0106,Kumar,Sedan,Pune,6,5.0
D0107,Vignesh,Auto,Hyderabad,15,4.8
D0108,Arun,SUV,Hyderabad,12,4.2
D0109,Dinesh,Bike,Bangalore,5,4.9
D0110,Prakash,Mini,Kolkata,7,4.8
D0111,Sathish,SUV,Ahmedabad,6,4.9
D0112,Harish,Mini,Chennai,3,4.2
D0113,Karthik,Auto,Delhi,13,4.4
D0114,Ravi,SUV,Delhi,6,4.8
D0115,Karthik,Bike,Delhi,7,4.7
D0116,Dinesh,SUV,Bangalore,10,4.8
D0117,Vijay,Sedan,Delhi,5,4.1
D0118,Arun,Sedan,Bangalore,2,4.8
D0119,Arun,SUV,Delhi,11,4.4
D0120,Rajesh,Bike,Pune,14,4.3
D0121,Arun,Mini,Kolkata,4,5.0
D0122,Prakash,Bike,Kolkata,12,4.2
D0123,Ramesh,SUV,Kolkata,14,4.7
D0124,Saravanan,SUV,Hyderabad,5,3.9
D0125,Ravi,Bike,Hyderabad,9,4.7
D0126,Karthik,Bike,Mumbai,14,3.7
D0127,Ramesh,Auto,Bangalore,1,3.7
D0128,Mohan,SUV,Mumbai,6,4.7
D0129,Ravi,Auto,Bangalore,1,4.8
D0130,Harish,Bike,Delhi,1,4.5
D0131,Prakash,Mini,Bangalore,2,4.6
D0132,Dinesh,Auto,Kolkata,5,3.8
D0133,Arun,Auto,Kolkata,10,4.9
D0134,Karthik,Mini,Hyderabad,7,4.4
D0135,Murugan,Mini,Delhi,8,4.5
D0136,Kumar,SUV,Bangalore,5,4.4
D0137,Arun,Mini,Kolkata,4,4.2
D0138,Kumar,Auto,Mumbai,9,4.8
D0139,Manikandan,Bike,Hyderabad,5,5.0
